"Product", "Produkt"
"Qty", "Antal"
"Price", "Pris"
"Shipping Methods", "Leveranssätt"
"Enter discount code", "Rabattkod"
"Apply Discount", "Använd"
"Cancel coupon", "Ta bort rabattkod"
"Private", "Privat"
"Business", "Företag"
"Currencies are not matching with what is allowed in CollectorBank checkout","Butikens valuta stämmer inte överens med valutan hos Collector Bank Checkout"
"Could not save order","Kan inte spara order"
"Cart not found","Kan inte hitta varukorgen"
"Quote not found","Kan inte hitta varukorgen"
"Cart not in sync","Varukorgen är inte i synk"
"Please refresh the page and try again.","Vänligen ladda om sida och försök igen."
"Quote total is zero","Varukorgens totalsumma är noll"
"Quote is empty","Varukorgen är tom"
"The url is no longer valid","Denna sida är inte längre aktiv"
"Are you sure you would like to remove this item from the shopping cart?","Är du säker att du vill ta bort produkten från varukorgen?"
"Discount: ", "Rabatt: "
"Currency rounding","Öresavrundning"
"The order was placed using %1.","Ordern lades med %1."
